Brand,Title,Product_Url,Average_rating,Product_Code,Reviews,Selling_Price,Orginal_Price,Discount,Sales_Status,Composition
M&S Collection,Fleece Star Print Pyjama Set,https://www.marksandspencer.com/fleece-star-print-pyjama-set/p/clp60617992#intid=pid_pg2pip48g2r1c1,5,T374544F,3,18,18,0,,100% polyester (exclusive of trimmings)
M&S Collection,Fleece Heart Print Pyjama Set,https://www.marksandspencer.com/fleece-heart-print-pyjama-set/p/clp60617994#intid=pid_pg2pip48g2r1c2,0,T374543F,,18,18,0,,100% polyester (exclusive of trimmings)
M&S Collection,Pure Cotton Polka Dot Pyjama Set,https://www.marksandspencer.com/pure-cotton-polka-dot-pyjama-set/p/clp60617926#intid=pid_pg2pip48g2r2c1,0,T374551F,,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Tiger Print Pyjama Set,https://www.marksandspencer.com/pure-cotton-tiger-print-pyjama-set/p/clp60620409#intid=pid_pg2pip48g2r2c2,0,T374561F,,15,15,0,,100% cotton (exclusive of trimmings)
M&S Collection,Cotton Blend Waffle Fair Isle Nightdress,https://www.marksandspencer.com/cotton-blend-waffle-fair-isle-nightdress/p/clp60622198#intid=pid_pg2pip48g2r3c1,0,T373274M,,20,20,0,,"50% cotton, 50% polyester (exclusive of  trimmings)"
M&S Collection,Fleece Checked Pyjama Set,https://www.marksandspencer.com/fleece-checked-pyjama-set/p/clp60618006#intid=pid_pg2pip48g2r3c2,5,T374546F,1,18,18,0,,100% polyester (exclusive of trimmings)
M&S Collection,Fleece Checked Pyjama Set,https://www.marksandspencer.com/fleece-checked-pyjama-set/p/clp60617997#intid=pid_pg2pip48g2r4c1,5,T374545F,2,18,18,0,,100% polyester (exclusive of trimmings)
M&S Collection,Pure Cotton Skeleton Pyjama Set,https://www.marksandspencer.com/pure-cotton-skeleton-pyjama-set/p/clp60617620#intid=pid_pg2pip48g2r4c2,0,T371351J,,25,25,0,,100% cotton (exclusive of trimmings)
FatFace,Pure Cotton Checked Cropped Pyjama Bottoms,https://www.marksandspencer.com/pure-cotton-checked-cropped-pyjama-bottoms/p/clp22567949#intid=pid_pg2pip48g2r5c1,0,T835677W,,34.5,34.5,0,,100% cotton
M&S Collection,Pure Cotton Sausage Dog Print Nightshirt,https://www.marksandspencer.com/pure-cotton-sausage-dog-print-nightshirt/p/clp60640609#intid=pid_pg2pip48g2r5c2,0,T373312M,,20,20,0,,100% cotton (exclusive of trimmings)
M&S Collection,Women's Mono Check Family Christmas Pyjama Set,https://www.marksandspencer.com/pure-cotton-checked-pyjama-set/p/clp60632577#intid=pid_pg2pip48g2r6c1,0,T371443J,,30,30,0,,100% cotton (exclusive of trimmings)
M&S Collection,Pure Cotton Checked Pyjama Set,https://www.marksandspencer.com/pure-cotton-checked-pyjama-set/p/clp60624215#intid=pid_pg2pip48g2r6c2,0,T371395J,,30,30,0,,100% cotton (exclusive of trimmings)
